;Tset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl;AnzahlVS;FilterGr;FilterGrVS;FilterNum;FilterNumVS;FilterPos;FilterPosVS;Invers;InversVS;Limit;LimitVS;Ober;OberVS;Regex;RegexVS;Reihenfolge;ReihenfolgeVS;Select;SelectVS;SelectVSVS;Struktur;StrukturVS;Subselect;SubselectVS;Type;TypeVS;Union;UnionVS;Path;PathVS;Distinct;DistinctVS;DistinctVSVS;Minus;MinusVS;MinusVSVS
56,32;5,95;7930,68;4380,3;4004,36;3930,02;4329,13;2042,15;2,83;2016,98;4153,56;1976,75;1978,45;9,38;2040,6;2017,45;4081,64;1934,79;1873,83;9,97;3,73;3,49;3,28;7,26;3,22;3,44;9,13;6191;4075,62;3,21;4,73;10288,85;8061,66;7874,31;3986,17;4072,75;12,23
1931,93;6,06;5869,28;2510,07;2594,58;3939,25;2018,31;4005,01;1897,7;3,44;4116,47;3,45;2,64;9,29;4015,33;2029,31;2046,34;40,06;5,65;1908,79;3,39;2,93;3,06;4,15;3,15;2,77;1936,49;4015,65;6011,45;2,74;2114,21;7919,74;8119,51;8477,33;3952,17;2086,07;1804,59
48,92;9,05;5907,78;3820,4;4559,98;4236,72;2025,22;2035,52;2,86;2,79;2143,25;3,34;2,96;1982,9;3954,95;3998,98;2085,15;1843,82;6,51;3,98;1872,31;1950,34;1982,24;1903,71;1965,69;1947,49;9,81;4065,26;4125,69;3,16;3,81;10146,71;8177,17;8024,15;3997,86;2034,43;14,68
1923,65;2071,97;7338,02;4432,68;2524,33;3960,07;9731,79;8026,57;2,81;3,53;4153,27;3,61;2,95;9,4;2009,74;2035,29;4087,37;1906,47;4,39;4,17;3,27;3,6;3,6;2,65;4,22;2,53;1955,46;6033,98;6102,09;2,68;3,57;10066,31;8184,71;7925,76;3887,33;3985,3;1878,04
48,24;4,15;2489,19;4442,19;3973,81;3938,07;4281,01;4021,31;3,53;2006,67;2117,72;3,13;2,81;9,3;4018,34;2029,35;2084,31;39,45;6,59;4,27;3,22;2,84;3,05;2,61;3,5;2,65;8,88;3949,94;4121,99;2001,24;4,01;7961,1;8166,58;7943,85;3989,42;2065,04;9,99
2627,72;4,35;3892,46;4415,4;1929,41;3935,75;8315,51;7977,02;3,07;2,63;4092,1;1977,39;1923,34;2073,37;4052,56;4233,59;4018,56;1952,16;1922,99;1918,23;5,42;2,88;3,9;3,08;3,53;3,24;9,06;3982,64;4069,95;3,33;2016,77;9875,74;8165,2;7987,21;4000,02;2045,68;1776,24
51,93;6,27;4386,49;5979,22;2016,98;3956,16;6013,34;5976,74;1927,46;3,73;4133,19;3,58;3,39;9,49;2023,81;2016,09;2057,01;1907,42;7,93;3,86;3,55;3,37;2,97;3,08;4,95;3;1945,63;5988,67;6119,28;3,98;7,85;10106,85;8009,6;8165,43;3994,86;3936,05;10,87
2204,87;5,57;4278,06;6057,19;3999,22;3950,31;4058,78;4044,73;3,17;3,8;2155,98;3,08;2,9;1971,91;3922,9;2015,17;2048,68;46,02;4,98;3,88;1924,63;1945,14;1956,47;1962,35;1918,26;2066,77;9,05;4032,76;4107,89;3,29;3,82;7962,93;8035,86;8097,07;3996,99;1952,11;1814,42
53,57;5,24;4411,22;4007,64;1929,18;3948,13;6105,18;6093,39;2,74;4,49;4145,38;4,23;3,69;9,96;4020,49;4064,05;4156,94;1876,88;11,58;4,72;6,09;4,68;3,31;3,03;4,01;4,39;1931,57;4003,41;6113,35;3;3,6;9990,86;7980,06;8043,48;5901,58;2062,61;10,19
2263,25;1907,27;1954,99;5906,61;2018,43;3915,42;6136,2;6012,07;3,6;1976,85;2127,36;3,26;3,38;9,07;1999,58;1965,99;2045,4;1955,91;1919,09;1941,7;3,76;3,46;3,04;2,78;2,99;3,61;8,9;6010,64;4078,56;2001,95;2001,71;10502,54;7930,1;8108,92;3915,21;3993,04;10,59
49,71;11,19;5855,79;2510,6;2069,1;3961,09;8006,26;7968,8;3,13;3,84;4100,48;2015,01;1931,63;1926,94;3970,42;2023,51;4027,86;38,31;3,84;3,08;3;2,96;3,34;3,32;4,61;3,69;9,25;4071,28;4143,31;2,84;4,05;8093,05;8035,67;8091,06;3942,07;2032,22;1800,37
1925,56;3,97;4430,54;6388,01;3937,62;3944,38;2016,76;2035,83;1948,81;3,58;4101,94;3,48;3,91;9,58;3997,48;3993,16;2087,41;1948,52;5,51;3,69;3,46;2,83;2,86;2,76;3,34;3,08;1965,54;3976,17;6097,88;2,72;3,9;10121,98;8092,2;8006,83;3875,86;2010,23;10,49
51,43;5,42;6345,76;3889,05;4046,58;3937,77;2019,91;1991,8;2,73;3,41;2106,46;3,17;3,29;10,09;2021,42;2032,68;2093,56;1859,99;6,83;4,77;1935,24;1960,74;1972,08;1964,17;1917,66;2033,54;9,61;5962,98;4326,09;3,22;4,22;10069,03;8030,94;8063,33;3991,24;4024,12;1806,18
